Type,Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank
Mains,Malaviya National Institute of Technology Jaipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",GEN,Female,2334,6099
Mains,Malaviya National Institute of Technology Jaipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,Male,619,738
Mains,Malaviya National Institute of Technology Jaipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,Female,1371,1371
Mains,Malaviya National Institute of Technology Jaipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC,Male,1084,1514
Mains,Malaviya National Institute of Technology Jaipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC,Female,3425,4081
Mains,Malaviya National Institute of Technology Jaipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Male,378,757
Mains,Malaviya National Institute of Technology Jaipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Female,738,738
Mains,Malaviya National Institute of Technology Jaipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Male,210,223
Mains,Malaviya National Institute of Technology Jaipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Female,431,431
Mains,Malaviya National Institute of Technology Jaipur,"Electrical Engineering (4 Years, Bachelor of Technology)",GEN,Male,9424,16172
Mains,Malaviya National Institute of Technology Jaipur,"Electrical Engineering (4 Years, Bachelor of Technology)",GEN,Female,16428,20183
Mains,Malaviya National Institute of Technology Jaipur,"Electrical Engineering (4 Years, Bachelor of Technology)",EWS,Male,2300,2469
Mains,Malaviya National Institute of Technology Jaipur,"Electrical Engineering (4 Years, Bachelor of Technology)",EWS,Female,3208,3208
Mains,Malaviya National Institute of Technology Jaipur,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC,Male,4099,5275
Mains,Malaviya National Institute of Technology Jaipur,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC,Female,9349,10729
Mains,Malaviya National Institute of Technology Jaipur,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Male,1699,2704
Mains,Malaviya National Institute of Technology Jaipur,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Female,2921,5148
Mains,Malaviya National Institute of Technology Jaipur,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Male,1013,1146
Mains,Malaviya National Institute of Technology Jaipur,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Female,1711,1711
Mains,Malaviya National Institute of Technology Jaipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",GEN,Male,5456,9470
Mains,Malaviya National Institute of Technology Jaipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",GEN,Female,10666,13954
Mains,Malaviya National Institute of Technology Jaipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",EWS,Male,1311,1452
Mains,Malaviya National Institute of Technology Jaipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",EWS,Female,2209,2209
Mains,Malaviya National Institute of Technology Jaipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OBC,Male,2105,3325
Mains,Malaviya National Institute of Technology Jaipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OBC,Female,5636,6053
Mains,Malaviya National Institute of Technology Jaipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",SC,Male,798,1738
Mains,Malaviya National Institute of Technology Jaipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",SC,Female,2396,2396
Mains,Malaviya National Institute of Technology Jaipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ST,Male,362,462
Mains,Malaviya National Institute of Technology Jaipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ST,Female,1000,1000
Mains,Malaviya National Institute of Technology Jaipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",GEN,Male,12843,21909
Mains,Malaviya National Institute of Technology Jaipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",GEN,Female,21410,34957
Mains,Malaviya National Institute of Technology Jaipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Male,3315,3416
Mains,Malaviya National Institute of Technology Jaipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Female,5391,5391
Mains,Malaviya National Institute of Technology Jaipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC,Male,6007,7877
Mains,Malaviya National Institute of Technology Jaipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC,Female,14302,14693
Mains,Malaviya National Institute of Technology Jaipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Male,3719,4240
Mains,Malaviya National Institute of Technology Jaipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Female,7419,7419
Mains,Malaviya National Institute of Technology Jaipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Male,882,1352
Mains,Malaviya National Institute of Technology Jaipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Female,2257,2257
Mains,Malaviya National Institute of Technology Jaipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",GEN,Male,28642,38962
Mains,Malaviya National Institute of Technology Jaipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",GEN,Female,41560,46000
Mains,Malaviya National Institute of Technology Jaipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",EWS,Male,5658,5977
Mains,Malaviya National Institute of Technology Jaipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",EWS,Female,8144,8264
Mains,Malaviya National Institute of Technology Jaipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OBC,Male,11175,13489
Mains,Malaviya National Institute of Technology Jaipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OBC,Female,19599,19947
Mains,Malaviya National Institute of Technology Jaipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",SC,Male,4270,6348
Mains,Malaviya National Institute of Technology Jaipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",SC,Female,7948,9120
Mains,Malaviya National Institute of Technology Jaipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",ST,Male,2482,2641
Mains,Malaviya National Institute of Technology Jaipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",ST,Female,3520,3520
Mains,Maulana Azad National Institute of Technology Bhopal,"Architecture (5 Years, Bachelor of Architecture)",GEN,Male,454,941
Mains,Maulana Azad National Institute of Technology Bhopal,"Architecture (5 Years, Bachelor of Architecture)",GEN,Female,597,762
Mains,Maulana Azad National Institute of Technology Bhopal,"Architecture (5 Years, Bachelor of Architecture)",EWS,Male,257,302
Mains,Maulana Azad National Institute of Technology Bhopal,"Architecture (5 Years, Bachelor of Architecture)",EWS,Female,242,242
Mains,Maulana Azad National Institute of Technology Bhopal,"Architecture (5 Years, Bachelor of Architecture)",OBC,Male,449,547
Mains,Maulana Azad National Institute of Technology Bhopal,"Architecture (5 Years, Bachelor of Architecture)",OBC,Female,433,486
Mains,Maulana Azad National Institute of Technology Bhopal,"Architecture (5 Years, Bachelor of Architecture)",SC,Male,229,289
Mains,Maulana Azad National Institute of Technology Bhopal,"Architecture (5 Years, Bachelor of Architecture)",SC,Female,267,277
Mains,Maulana Azad National Institute of Technology Bhopal,"Architecture (5 Years, Bachelor of Architecture)",ST,Male,121,162
Mains,Maulana Azad National Institute of Technology Bhopal,"Architecture (5 Years, Bachelor of Architecture)",ST,Female,172,172
Mains,Maulana Azad National Institute of Technology Bhopal,"Chemical Engineering (4 Years, Bachelor of Technology)",GEN,Male,30998,35282
Mains,Maulana Azad National Institute of Technology Bhopal,"Chemical Engineering (4 Years, Bachelor of Technology)",GEN,Female,32507,39787
Mains,Maulana Azad National Institute of Technology Bhopal,"Chemical Engineering (4 Years, Bachelor of Technology)",EWS,Male,5188,5352
Mains,Maulana Azad National Institute of Technology Bhopal,"Chemical Engineering (4 Years, Bachelor of Technology)",EWS,Female,6154,6154
Mains,Maulana Azad National Institute of Technology Bhopal,"Chemical Engineering (4 Years, Bachelor of Technology)",OBC,Male,10568,12410
Mains,Maulana Azad National Institute of Technology Bhopal,"Chemical Engineering (4 Years, Bachelor of Technology)",OBC,Female,17521,18990
Mains,Maulana Azad National Institute of Technology Bhopal,"Chemical Engineering (4 Years, Bachelor of Technology)",SC,Male,5123,6223
Mains,Maulana Azad National Institute of Technology Bhopal,"Chemical Engineering (4 Years, Bachelor of Technology)",SC,Female,7752,7752
Mains,Maulana Azad National Institute of Technology Bhopal,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Male,1981,2139
Mains,Maulana Azad National Institute of Technology Bhopal,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Female,3506,3506
Mains,Maulana Azad National Institute of Technology Bhopal,"Civil Engineering (4 Years, Bachelor of Technology)",GEN,Male,35993,42069
